threshold,FAR,MISS,LEAD
0.5,0.18604651162790697,0.0,11.84661957618567
0.5125641025641026,0.18604651162790697,0.0,11.84661957618567
0.5251282051282051,0.18604651162790697,0.0,11.84661957618567
0.5376923076923077,0.18604651162790697,0.0,11.84661957618567
0.5502564102564103,0.09815950920245399,0.16,3.170378619153675
0.5628205128205128,0.09815950920245399,0.16,3.170378619153675
0.5753846153846154,0.09815950920245399,0.16,3.170378619153675
0.587948717948718,0.09815950920245399,0.16,3.170378619153675
0.6005128205128205,0.09815950920245399,0.16,3.170378619153675
0.6130769230769231,0.09815950920245399,0.16,3.170378619153675
0.6256410256410256,0.09815950920245399,0.16,3.170378619153675
0.6382051282051282,0.09815950920245399,0.16,3.170378619153675
0.6507692307692308,0.09815950920245399,0.16,3.170378619153675
0.6633333333333333,0.09815950920245399,0.16,3.170378619153675
0.6758974358974359,0.09815950920245399,0.16,3.170378619153675
0.6884615384615385,0.09815950920245399,0.16,3.170378619153675
0.701025641025641,0.09815950920245399,0.16,3.170378619153675
0.7135897435897436,0.09815950920245399,0.16,3.170378619153675
0.7261538461538461,0.05343511450381679,0.2914285714285714,4.134174311926605
0.7387179487179487,0.05343511450381679,0.2914285714285714,4.134174311926605
0.7512820512820513,0.05343511450381679,0.2914285714285714,4.134174311926605
0.7638461538461538,0.05343511450381679,0.2914285714285714,4.134174311926605
0.7764102564102564,0.05343511450381679,0.2914285714285714,4.134174311926605
0.788974358974359,0.018518518518518517,0.3942857142857143,7.228235294117647
0.8015384615384615,0.018518518518518517,0.3942857142857143,7.228235294117647
0.8141025641025641,0.018518518518518517,0.3942857142857143,7.228235294117647
0.8266666666666667,0.018518518518518517,0.3942857142857143,7.228235294117647
0.8392307692307692,0.018518518518518517,0.3942857142857143,7.228235294117647
0.8517948717948718,0.018518518518518517,0.3942857142857143,7.228235294117647
0.8643589743589744,0.018518518518518517,0.3942857142857143,7.228235294117647
0.8769230769230769,0.018518518518518517,0.3942857142857143,7.228235294117647
0.8894871794871795,0.018518518518518517,0.3942857142857143,7.228235294117647
0.902051282051282,0.018518518518518517,0.3942857142857143,7.228235294117647
0.9146153846153846,0.018518518518518517,0.3942857142857143,7.228235294117647
0.9271794871794872,0.018518518518518517,0.3942857142857143,7.228235294117647
0.9397435897435897,0.018518518518518517,0.3942857142857143,7.228235294117647
0.9523076923076923,0.018518518518518517,0.3942857142857143,7.228235294117647
0.9648717948717949,0.018518518518518517,0.3942857142857143,7.228235294117647
0.9774358974358974,0.0,0.8057142857142857,35.75625
0.99,0.0,0.8057142857142857,35.75625
