time,b_value
2025-07-18 23:03:23.089,0.27504400373860155
2025-07-19 08:58:35.750,0.27486992525522264
2025-07-19 10:22:55.200,0.27679699292750276
2025-07-20 16:56:26.990,0.27750446128003314
2025-07-22 00:07:13.910,0.27715027562428324
2025-07-22 12:43:45.890,0.2769735216219718
2025-07-23 21:14:21.660,0.2766206891103515
2025-07-25 04:36:10.319,0.27821555535121834
2025-07-25 05:12:31.009,0.2778595533610057
2025-07-26 00:47:05.519,0.27715027562428324
2025-07-26 05:16:28.930,0.27732725536606123
2025-07-27 15:56:36.000,0.27715027562428324
2025-07-29 03:37:34.109,0.2789303030849401
2025-07-29 12:41:02.240,0.2780374403990088
2025-07-30 00:37:23.250,0.28018998832467856
2025-07-30 21:05:58.890,0.2842241373712381
2025-07-30 22:47:26.900,0.286285090246046
2025-07-30 22:48:28.769,0.2849701324824487
2025-07-31 01:45:37.920,0.2859081513517128
2025-08-01 02:24:24.160,0.2860964966424584
2025-08-02 22:45:41.220,0.2878028375767076
2025-08-02 23:54:24.859,0.2885677620619614
2025-08-03 00:53:53.089,0.2885677620619614
2025-08-03 05:12:35.650,0.2883761500021592
2025-08-03 14:24:46.769,0.28780283757670755
2025-08-05 23:35:52.359,0.2908871278655404
2025-08-08 06:36:40.059,0.2893367634265501
2025-08-09 19:11:23.769,0.2889517510999679
2025-08-09 20:30:23.059,0.2889517510999679
2025-08-09 21:02:32.640,0.2889517510999679
2025-08-09 21:03:22.049,0.2920608486235722
2025-08-10 00:03:21.970,0.29088712786554044
2025-08-10 04:43:16.569,0.2934422175021972
2025-08-10 13:51:05.529,0.2948367154808227
2025-08-10 13:51:11.799,0.2948367154808227
2025-08-11 08:35:37.369,0.2950370121625353
2025-08-11 17:15:09.900,0.2962445306297761
2025-08-11 18:41:08.579,0.2958409277270108
2025-08-12 01:45:16.380,0.29383929763413524
2025-08-12 15:54:24.329,0.2948367154808227
2025-08-14 09:36:12.369,0.294636690572084
2025-08-14 09:36:35.839,0.29383929763413513
2025-08-14 09:36:56.210,0.29383929763413524
2025-08-15 14:54:41.170,0.2936406233287706
2025-08-15 22:49:55.940,0.2942374538639917
2025-08-16 00:50:49.009,0.29523758117148313
2025-08-16 03:25:56.039,0.2956395383956786
2025-08-17 03:05:22.200,0.2948367154808227
2025-08-17 03:20:41.750,0.2928486054640943
2025-08-17 05:56:59.410,0.29423745386399175
2025-08-17 08:18:23.390,0.29523758117148324
2025-08-17 11:03:53.299,0.294636690572084
2025-08-17 11:03:56.230,0.29624453062977607
2025-08-17 13:37:04.250,0.2962445306297761
2025-08-18 18:54:29.720,0.29746197390633683
2025-08-19 02:22:20.529,0.29827917713135427
2025-08-19 03:50:43.890,0.2988950322802834
2025-08-19 03:50:47.329,0.29889503228028347
2025-08-20 01:57:56.170,0.3009663769253304
2025-08-20 20:47:31.579,0.3045543351355202
2025-08-22 16:30:35.859,0.30627255423360494
2025-08-23 02:50:15.380,0.3073563212337239
2025-08-23 20:55:04.960,0.3069218953379872
2025-08-23 20:57:18.509,0.30627255423360505
2025-08-23 21:00:21.519,0.3049820799882386
