date,observed,fitted,forecast,lower,upper
2008-05-30,1.0,0.0,,,
2008-05-31,0.0,1.2493584156554607,,,
2008-06-01,0.0,-0.08551828371823608,,,
2008-06-02,0.0,0.06379575461734857,,,
2008-06-03,0.0,0.09293170045640416,,,
2008-06-04,0.0,0.09862000550728021,,,
2008-06-05,0.0,0.09973057367593192,,,
2008-06-06,0.0,0.7617776189324542,,,
2008-06-07,0.0,-1.0679728518101603,,,
2008-06-08,0.0,0.507341324212135,,,
2008-06-09,0.0,0.303522622450363,,,
2008-06-10,0.0,0.2355222129388792,,,
2008-06-11,0.0,0.2014741573101483,,,
2008-06-12,0.0,0.18100364699044333,,,
2008-06-13,0.0,0.16731306566433135,,,
2008-06-14,0.0,-0.016412590490238396,,,
2008-06-15,0.0,0.2222842970119911,,,
2008-06-16,0.0,0.1938119998635467,,,
2008-06-17,0.0,0.17600983369148787,,,
2008-06-18,0.0,0.16381119239308578,,,
2008-06-19,0.0,0.15491972805390342,,,
2008-06-20,0.0,0.1481464144445133,,,
2008-06-21,0.0,0.022200062208981117,,,
2008-06-22,0.0,0.17184205309689632,,,
2008-06-23,0.0,0.16082233524340886,,,
2008-06-24,0.0,0.1526737334314,,,
2008-06-25,0.0,0.1463952085955022,,,
2008-06-26,0.0,0.14140440015995062,,,
2008-06-27,0.0,0.13734330930455532,,,
2008-06-28,0.0,0.04146092100755908,,,
2008-06-29,0.0,0.15076589831018924,,,
2008-06-30,0.0,0.14489277232383174,,,
2008-07-01,0.0,0.14019201560846092,,,
2008-07-02,0.0,0.13633911920909197,,,
2008-07-03,0.0,0.13312121234972676,,,
2008-07-04,0.0,0.13039665547989443,,,
2008-07-05,0.0,0.05298299397179408,,,
2008-07-06,0.0,0.1391676452657661,,,
2008-07-07,0.0,0.13548839868047668,,,
2008-07-08,0.0,0.1324044279878211,,,
2008-07-09,0.0,0.12977830722716846,,,
2008-07-10,0.0,0.1275138737923116,,,
2008-07-11,0.0,0.125545346766493,,,
2008-07-12,0.0,0.06063801261682684,,,
2008-07-13,0.0,0.13181222468787124,,,
2008-07-14,0.0,0.12926907189603348,,,
2008-07-15,0.0,0.1270720451342183,,,
2008-07-16,0.0,0.1251521435089288,,,
2008-07-17,0.0,0.12345946486293191,,,
2008-07-18,0.0,0.12196025924280002,,,
2008-07-19,0.0,0.06608576885143014,,,
2008-07-20,0.0,0.12672219713607671,,,
2008-07-21,0.0,0.12484359464975406,,,
2008-07-22,0.0,0.1231858982618959,,,
2008-07-23,0.0,0.1217100698409734,,,
2008-07-24,0.0,0.12038755147826138,,,
2008-07-25,0.0,0.11919994695603274,,,
2008-07-26,0.0,0.07015643378419555,,,
2008-07-27,0.0,0.12298516827354905,,,
2008-07-28,0.0,0.12152934996557122,,,
2008-07-29,0.0,0.12022449636202329,,,
2008-07-30,0.0,0.11904646198699491,,,
2008-07-31,0.0,0.11797767270426346,,,
2008-08-01,0.0,0.11700779500521977,,,
2008-08-02,0.0,0.07331134422536215,,,
2008-08-03,0.0,0.12012189799430184,,,
2008-08-04,0.0,0.11895216589859293,,,
2008-08-05,0.0,0.1178911690332672,,,
2008-08-06,0.0,0.11692289805375944,,,
2008-08-07,0.0,0.11603591608613123,,,
2008-08-08,0.0,0.11522442061976465,,,
2008-08-09,0.0,0.07582733340881093,,,
2008-08-10,0.0,0.11785651283425984,,,
2008-08-11,0.0,0.11688975962950143,,,
2008-08-12,0.0,0.11600466826770538,,,
2008-08-13,0.0,0.11519001351609799,,,
2008-08-14,0.0,0.11443801553103267,,,
2008-08-15,0.0,0.11374555205477326,,,
2008-08-16,0.0,0.07788053120764502,,,
2008-08-17,0.0,0.11601893348726405,,,
2008-08-18,0.0,0.11520171696034637,,,
2008-08-19,0.0,0.11444795711237003,,,
2008-08-20,0.0,0.11374941285258876,,,
2008-08-21,0.0,0.11310059885796657,,,
2008-08-22,0.0,0.11250004123204686,,,
2008-08-23,0.0,0.07958827597764756,,,
2008-08-24,0.0,0.11449853879550798,,,
2008-08-25,0.0,0.11379491826829505,,,
2008-08-26,0.0,0.11314202609845578,,,
2008-08-27,0.0,0.11253357518038243,,,
2008-08-28,0.0,0.11196558200725955,,,
2008-08-29,0.0,0.11143761632302034,,,
2008-08-30,0.0,0.08103169290438864,,,
2008-08-31,0.0,0.11322020936631234,,,
2008-09-01,0.0,0.11260511092573011,,,
2008-09-02,0.0,0.11203154770444615,,,
2008-09-03,0.0,0.1114945652120023,,,
2008-09-04,0.0,0.11099119817064113,,,
2008-09-05,0.0,0.11052169090903416,,,
2008-09-06,0.0,0.08226860509441858,,,
2008-09-07,0.0,0.11213108453490817,,,
2008-09-08,0.0,0.11158647061100042,,,
2008-09-09,0.0,0.11107656634447767,,,
2008-09-10,0.0,0.11059735816905991,,,
2008-09-11,0.0,0.11014659204216921,,,
2008-09-12,0.0,0.10972495401705051,,,
2008-09-13,0.0,0.08334128807691293,,,
2008-09-14,0.0,0.11119283442655448,,,
2008-09-15,0.0,0.11070538643779071,,,
2008-09-16,0.0,0.11024745850408256,,,
2008-09-17,0.0,0.10981572162051907,,,
2008-09-18,0.0,0.10940843137490495,,,
2008-09-19,0.0,0.1090265645294341,,,
2008-09-20,0.0,0.08428132283026027,,,
2008-09-21,0.0,0.1103769440010111,,,
2008-09-22,0.0,0.1099366042396087,,,
2008-09-23,0.0,0.10952175615238645,,,
2008-09-24,0.0,0.10912958197431799,,,
2008-09-25,0.0,0.10875871061002587,,,
2008-09-26,0.0,0.10841030935590759,,,
2008-09-27,0.0,0.08511274107820077,,,
2008-09-28,0.0,0.10966172472261615,,,
2008-09-29,0.0,0.10926074768724156,,,
2008-09-30,0.0,0.10888207770258301,,,
2008-10-01,0.0,0.10852328770058742,,,
2008-10-02,0.0,0.10818328536880721,,,
2008-10-03,0.0,0.10786336085271633,,,
2008-10-04,0.0,0.08585412599249476,,,
2008-10-05,0.0,0.10903035898338531,,,
2008-10-06,0.0,0.10866267609707936,,,
2008-10-07,0.0,0.1083147414694802,,,
2008-10-08,0.0,0.10798443277691441,,,
2008-10-09,0.0,0.10767086945686505,,,
2008-10-10,0.0,0.10737541809287296,,,
2008-10-11,0.0,0.0865200522395322,,,
2008-10-12,0.0,0.10846958407188982,,,
2008-10-13,0.0,0.10813036741017348,,,
2008-10-14,0.0,0.10780881296666607,,,
2008-10-15,0.0,0.10750304050151267,,,
2008-10-16,0.0,0.10721233272713954,,,
2008-10-17,0.0,0.10693810047975927,,,
2008-10-18,0.0,0.08712209579862004,,,
2008-10-19,0.0,0.10796878445408245,,,
2008-10-20,0.0,0.10765414040946733,,,
2008-10-21,0.0,0.10735543554824764,,,
2008-10-22,0.0,0.10707098511975213,,,
2008-10-23,0.0,0.10680019943882489,,,
2008-10-24,0.0,0.10654451109502279,,,
2008-10-25,0.0,0.08766955629159259,,,
2008-10-26,0.0,0.10751935177837488,,,
2008-10-27,0.0,0.10722610166254529,,,
2008-10-28,0.0,0.10694735057466019,,,
2008-10-29,0.0,0.10668157398128413,,,
2008-10-30,0.0,0.10642828313455927,,,
2008-10-31,0.0,0.10618891657667737,,,
2008-11-01,0.0,0.08816998276356959,,,
2008-11-02,0.0,0.1071142246079412,,,
2008-11-03,0.0,0.1068397446998981,,,
2008-11-04,0.0,0.10657854707496471,,,
2008-11-05,0.0,0.10632924028090737,,,
2008-11-06,0.0,0.10609141629223258,,,
2008-11-07,0.0,0.10586650849778666,,,
2008-11-08,0.0,0.08862956232816177,,,
2008-11-09,0.0,0.10674755137460708,,,
2008-11-10,0.0,0.1064896544156185,,,
2008-11-11,0.0,0.10624400160747768,,,
2008-11-12,0.0,0.10600931339261402,,,
2008-11-13,0.0,0.10578524694606595,,,
2008-11-14,0.0,0.1055732227250265,,,
2008-11-15,0.0,0.08905341138193831,,,
2008-11-16,0.0,0.10641443943861707,,,
2008-11-17,0.0,0.10617128553706472,,,
2008-11-18,0.0,0.10593948205974778,,,
2008-11-19,0.0,0.10571784457786933,,,
2008-11-20,0.0,0.10550608340947328,,,
2008-11-21,0.0,0.10530560068277232,,,
2008-11-22,0.0,0.08944579647026421,,,
2008-11-23,0.0,0.10611076537585773,,,
2008-11-24,0.0,0.10588079411715905,,,
2008-11-25,0.0,0.10566139751568043,,,
2008-11-26,0.0,0.10545147283847973,,,
2008-11-27,0.0,0.1052507740801639,,,
2008-11-28,0.0,0.10506068135925882,,,
2008-11-29,0.0,0.08981030362175488,,,
2008-11-30,0.0,0.10583302950894796,,,
2008-12-01,0.0,0.10561490758026107,,,
2008-12-02,0.0,0.10540668182038976,,,
2008-12-03,0.0,0.10520732030615888,,,
2008-12-04,0.0,0.1050166132037085,,,
2008-12-05,0.0,0.10483591618604227,,,
2008-12-06,0.0,0.09014996944667863,,,
2008-12-07,0.0,0.10557824289316824,,,
2008-12-08,0.0,0.10537082321374885,,,
2008-12-09,0.0,0.1051727021489246,,,
2008-12-10,0.0,0.10498290966953329,,,
2008-12-11,0.0,0.104801266109468,,,
2008-12-12,0.0,0.10462910116676584,,,
2008-12-13,0.0,0.09046738353633083,,,
2008-12-14,0.0,0.10534383844720117,,,
2008-12-15,0.0,0.1051461279385613,,,
2008-12-16,0.0,0.1049571863800703,,,
2008-12-17,0.0,0.10477609826271035,,,
2008-12-18,0.0,0.10460270924515365,,,
2008-12-19,0.0,0.10443832218233191,,,
2008-12-20,0.0,0.09076476909852979,,,
2008-12-21,0.0,0.10512760028647827,,,
2008-12-22,0.0,0.10493873420616864,,,
2008-12-23,0.0,0.10475816479527214,,,
2008-12-24,0.0,0.10458502491055222,,,
2008-12-25,0.0,0.10441918159855126,,,
2008-12-26,0.0,0.10426191048538569,,,
2008-12-27,0.0,0.09104404693476652,,,
2008-12-28,0.0,0.10492760695240907,,,
2008-12-29,0.0,0.10474682826852662,,,
2008-12-30,0.0,0.10457392282305186,,,
2008-12-31,0.0,0.10440806665830309,,,
2009-01-01,0.0,0.10424914498522705,,,
2009-01-02,0.0,0.10409840616639689,,,
2009-01-03,0.0,0.09130688655944681,,,
2009-01-04,0.0,0.10474218537592601,,,
2009-01-05,0.0,0.10456882805224897,,,
2009-01-06,0.0,0.10440296239822773,,,
2009-01-07,0.0,0.1042438032468862,,,
2009-01-08,0.0,0.10409125131647796,,,
2009-01-09,0.0,0.10394652792513799,,,
2009-01-10,0.0,0.09155474731850051,,,
2009-01-11,0.0,0.10456987322590969,,,
2009-01-12,0.0,0.1044033485698742,,,
2009-01-13,0.0,0.10424397011292022,,,
2009-01-14,0.0,0.1040909877226391,,,
2009-01-15,0.0,0.10394431542054247,,,
2009-01-16,0.0,0.10380514788113099,,,
2009-01-17,0.0,0.09178891167489354,,,
2009-01-18,0.0,0.10440938787600325,,,
2009-01-19,0.0,0.10424917330697511,,,
2009-01-20,0.0,0.10409579077632126,,,
2009-01-21,0.0,0.10394852195374354,,,
2009-01-22,0.0,0.10380729232495868,,,
2009-01-23,0.0,0.10367327044958438,,,
2009-01-24,0.0,0.0920105123187141,,,
2009-01-25,0.0,0.10425960064660837,,,
2009-01-26,0.0,0.10410523039272951,,,
2009-01-27,0.0,0.10395740532234861,,,
2009-01-28,0.0,0.10381543610749072,,,
2009-01-29,0.0,0.10367925815505648,,,
2009-01-30,0.0,0.10355001452633128,,,
2009-01-31,0.0,0.09222055437891817,,,
2009-02-01,0.0,0.10411951528963778,,,
2009-02-02,0.0,0.10397057263349531,,,
2009-02-03,0.0,0.10382791224272504,,,
2009-02-04,0.0,0.10369087135195193,,,
2009-02-05,0.0,0.10355939398785419,,,
2009-02-06,0.0,0.10343459838771422,,,
2009-02-07,0.0,0.09241993372722632,,,
2009-02-08,0.0,0.10398824991424867,,,
2009-02-09,0.0,0.10384436069154324,,,
2009-02-10,0.0,0.10370651190135392,,,
2009-02-11,0.0,0.10357406520287106,,,
2009-02-12,0.0,0.1034469721395205,,,
2009-02-13,0.0,0.10332632683424826,,,
2009-02-14,0.0,0.0926094521471245,,,
2009-02-15,0.0,0.10386502172475834,,,
2009-02-16,0.0,0.10372584884363575,,,
2009-02-17,0.0,0.10359249322063593,,,
2009-02-18,0.0,0.10346433905588892,,,
2009-02-19,0.0,0.10334134447032958,,,
2009-02-20,0.0,0.10322458020083024,,,
2009-02-21,0.0,0.09278982997461156,,,
2009-02-22,0.0,0.10374913407299893,,,
2009-02-23,0.0,0.1036143728701551,,,
2009-02-24,0.0,0.10348522233326916,,,
2009-02-25,0.0,0.10336108753563233,,,
2009-02-26,0.0,0.10324193237240609,,,
2009-02-27,0.0,0.1031288049288088,,,
2009-02-28,0.0,0.09296171668935414,,,
2009-03-01,0.0,0.10363996542764799,,,
2009-03-02,0.0,0.1035093397145932,,,
2009-03-03,0.0,0.10338413287241233,,,
2009-03-04,0.0,0.10326376936396672,,,
2009-03-05,0.0,0.10314821816878256,,,
2009-03-06,0.0,0.10303850545182076,,,
2009-03-07,0.0,0.09312569983583881,,,
2009-03-08,0.0,0.10353695994054646,,,
2009-03-09,0.0,0.10341021862232587,,,
2009-03-10,0.0,0.10328871763485736,,,
2009-03-11,0.0,0.10317189950501293,,,
2009-03-12,0.0,0.1030597377018945,,,
2009-03-13,0.0,0.10295323719187185,,,
2009-03-14,0.0,0.09328231257699782,,,
2009-03-15,0.0,0.10343961935042699,,,
2009-03-16,0.0,0.10331653352168531,,,
2009-03-17,0.0,0.10319852140038745,,,
2009-03-18,0.0,0.10308504238814897,,,
2009-03-19,0.0,0.1029760739289149,,,
2009-03-20,0.0,0.10287260049757356,,,
2009-03-21,0.0,0.0934320401224588,,,
2009-03-22,0.0,0.10334749601200219,,,
2009-03-23,0.0,0.10322785645306364,,,
2009-03-24,0.0,0.10311313472896808,,,
2009-03-25,0.0,0.10300280604492966,,,
2009-03-26,0.0,0.10289685137270665,,,
2009-03-27,0.0,0.10279623538486399,,,
2009-03-28,0.0,0.09357532522615328,,,
2009-03-29,0.0,0.10326018687607175,,,
2009-03-30,0.0,0.1031438018857987,,,
2009-03-31,0.0,0.1030321885881707,,,
2009-04-01,0.0,0.10292483702370757,,,
2009-04-02,0.0,0.1028217313024426,,,
2009-04-03,0.0,0.10272381696351718,,,
2009-04-04,0.0,0.09371257291058377,,,
