time,magnitude,depth,longitude,latitude,place,event_id,year,month,day,energy_proxy
2019-12-06 00:17:24.120000,2.4,,14.1523,40.8255,6 km E Pozzuoli (NA),23542681,2019,12,2019-12-06,3981.071705534969
2019-12-06 00:50:50.800000,1.4,,14.1383,40.8298,4 km E Pozzuoli (NA),23542751,2019,12,2019-12-06,125.89254117941663
2019-12-06 21:44:51.720000,1.6,,14.0968,40.9195,5 km W Qualiano (NA),23546501,2019,12,2019-12-06,251.18864315095823
2020-04-08 00:50:29.860000,2.1,,14.1435,40.8278,5 km E Pozzuoli (NA),24236231,2020,4,2020-04-08,1412.5375446227554
2020-04-10 09:49:56.080000,1.5,,14.1288,40.8455,3 km E Pozzuoli (NA),24246911,2020,4,2020-04-10,177.82794100389228
2020-04-17 18:31:01.880000,1.1,,14.13333,40.82033,5 km SE Pozzuoli (NA),24279781,2020,4,2020-04-17,44.668359215096324
2020-04-20 22:32:09.210000,1.0,,14.14533,40.829,5 km E Pozzuoli (NA),24292791,2020,4,2020-04-20,31.622776601683793
2020-04-26 02:16:32.289000,2.0,,14.14767,40.82867,5 km E Pozzuoli (NA),24317411,2020,4,2020-04-26,1000.0
2020-04-26 02:26:51.789000,1.6,,14.14817,40.82833,5 km E Pozzuoli (NA),24317261,2020,4,2020-04-26,251.18864315095823
2020-04-26 02:41:13.770000,1.9,,14.1507,40.8572,2 km S Quarto (NA),24317251,2020,4,2020-04-26,707.9457843841374
2020-04-26 02:59:02.780000,2.4,,14.1498,40.8623,2 km S Quarto (NA),24317311,2020,4,2020-04-26,3981.071705534969
2020-04-26 03:32:27.279000,1.0,,14.14583,40.83133,5 km E Pozzuoli (NA),24317701,2020,4,2020-04-26,31.622776601683793
2020-04-26 03:35:56.539000,1.3,,14.14583,40.82867,5 km E Pozzuoli (NA),24317801,2020,4,2020-04-26,89.12509381337459
2020-04-26 04:32:25.290000,1.5,,14.1447,40.8313,5 km E Pozzuoli (NA),24317761,2020,4,2020-04-26,177.82794100389228
2020-05-13 18:15:13.690000,1.4,,14.09883,40.82467,Ischia e costa Flegrea (Napoli),24415911,2020,5,2020-05-13,125.89254117941663
2020-05-28 18:47:30.760000,1.5,,14.0965,40.821,Ischia e costa Flegrea (Napoli),24523531,2020,5,2020-05-28,177.82794100389228
2020-06-18 19:25:56.440000,1.2,,14.14217,40.831,5 km E Pozzuoli (NA),24665731,2020,6,2020-06-18,63.0957344480193
2020-07-11 21:22:37.809000,1.1,,14.15,40.83083,5 km E Pozzuoli (NA),24816981,2020,7,2020-07-11,44.668359215096324
2020-07-11 21:23:10.779000,1.0,,14.146,40.83083,5 km E Pozzuoli (NA),24817011,2020,7,2020-07-11,31.622776601683793
2020-07-14 19:07:08.730000,1.0,,14.13883,40.82167,5 km SE Pozzuoli (NA),24833971,2020,7,2020-07-14,31.622776601683793
2020-08-01 03:48:13.619000,1.0,,14.14267,40.827,5 km E Pozzuoli (NA),24949401,2020,8,2020-08-01,31.622776601683793
2020-09-10 01:48:31.799000,1.1,,14.12283,40.81783,Ischia e costa Flegrea (Napoli),25241051,2020,9,2020-09-10,44.668359215096324
2020-09-10 01:48:57.549000,1.1,,14.1235,40.81667,Ischia e costa Flegrea (Napoli),25241101,2020,9,2020-09-10,44.668359215096324
2020-09-11 17:32:30.549000,1.1,,14.14167,40.828,5 km E Pozzuoli (NA),25252611,2020,9,2020-09-11,44.668359215096324
2020-09-18 09:10:25.960000,1.2,,14.13467,40.8235,5 km SE Pozzuoli (NA),25293641,2020,9,2020-09-18,63.0957344480193
2020-09-18 09:28:17.380000,1.2,,14.13367,40.82783,4 km SE Pozzuoli (NA),25293681,2020,9,2020-09-18,63.0957344480193
2020-09-20 14:44:16.589000,1.2,,14.1365,40.82667,4 km SE Pozzuoli (NA),25310731,2020,9,2020-09-20,63.0957344480193
2020-10-09 01:23:18.079000,1.1,,14.12317,40.82283,4 km SE Pozzuoli (NA),25477681,2020,10,2020-10-09,44.668359215096324
2020-10-15 03:59:33.640000,1.1,,14.13183,40.82267,4 km SE Pozzuoli (NA),25494111,2020,10,2020-10-15,44.668359215096324
2020-10-15 22:05:53.619000,1.5,,14.11433,40.809,Ischia e costa Flegrea (Napoli),25499051,2020,10,2020-10-15,177.82794100389228
2020-10-21 03:26:08.670000,1.3,,14.13333,40.8375,4 km E Pozzuoli (NA),25528881,2020,10,2020-10-21,89.12509381337459
2020-11-04 20:56:57.009000,1.0,,14.142,40.82567,5 km SE Pozzuoli (NA),25616601,2020,11,2020-11-04,31.622776601683793
2020-11-06 05:14:49.869000,1.2,,14.117,40.82283,Ischia e costa Flegrea (Napoli),25624261,2020,11,2020-11-06,63.0957344480193
2020-11-08 04:48:00.150000,1.0,,14.13,40.82283,4 km SE Pozzuoli (NA),25634321,2020,11,2020-11-08,31.622776601683793
2020-11-15 03:14:10.470000,1.0,,14.1375,40.827,4 km SE Pozzuoli (NA),25673011,2020,11,2020-11-15,31.622776601683793
2020-12-02 19:23:16.630000,1.9,,14.1395,40.824667,5 km SE Pozzuoli (NA),25750391,2020,12,2020-12-02,707.9457843841374
2020-12-03 22:57:44.099000,1.1,,14.1195,40.8205,4 km SE Pozzuoli (NA),25770531,2020,12,2020-12-03,44.668359215096324
2020-12-03 23:22:40.960000,1.0,,14.121667,40.820167,Ischia e costa Flegrea (Napoli),25753471,2020,12,2020-12-03,31.622776601683793
2020-12-19 15:21:42.769000,1.0,,14.136,40.8235,5 km SE Pozzuoli (NA),25815531,2020,12,2020-12-19,31.622776601683793
2020-12-19 17:10:44.019000,1.0,,14.134833,40.824667,4 km SE Pozzuoli (NA),25816161,2020,12,2020-12-19,31.622776601683793
2020-12-19 21:54:53.200000,2.7,,14.141833,40.831333,5 km E Pozzuoli (NA),25817161,2020,12,2020-12-19,11220.184543019654
2020-12-19 21:54:57.430000,2.7,,14.144833,40.831333,5 km E Pozzuoli (NA),25827491,2020,12,2020-12-19,11220.184543019654
2020-12-20 03:13:48.650000,2.4,,14.14,40.8235,5 km SE Pozzuoli (NA),25817921,2020,12,2020-12-20,3981.071705534969
2020-12-20 03:20:26.690000,1.5,,14.137,40.8235,5 km SE Pozzuoli (NA),25817991,2020,12,2020-12-20,177.82794100389228
2020-12-23 01:59:42.290000,1.8,,14.1393,40.8333,Campi Flegrei,25830621,2020,12,2020-12-23,501.18723362727246
2020-12-26 12:31:21.960000,1.2,,14.1425,40.8307,Campi Flegrei,25846601,2020,12,2020-12-26,63.0957344480193
2020-12-27 06:59:06.630000,1.1,,14.1405,40.825,5 km SE Pozzuoli (NA),25848281,2020,12,2020-12-27,44.668359215096324
2020-12-27 23:15:00.509000,1.3,,14.115,40.809833,Ischia e costa Flegrea (Napoli),25849911,2020,12,2020-12-27,89.12509381337459
2020-12-28 08:09:42.770000,2.3,,14.1503,40.8282,Campi Flegrei,25853021,2020,12,2020-12-28,2818.382931264452
2021-01-01 02:13:58.519000,1.0,,14.133667,40.827333,4 km SE Pozzuoli (NA),25883901,2021,1,2021-01-01,31.622776601683793
2021-01-01 02:40:31.589000,1.0,,14.133,40.824667,4 km SE Pozzuoli (NA),25883961,2021,1,2021-01-01,31.622776601683793
2021-01-02 09:00:07.920000,1.1,,14.1325,40.827667,4 km SE Pozzuoli (NA),25889061,2021,1,2021-01-02,44.668359215096324
2021-01-02 09:18:10.190000,1.6,,14.130667,40.825333,4 km SE Pozzuoli (NA),25889151,2021,1,2021-01-02,251.18864315095823
2021-01-06 14:47:17.849000,1.2,,14.136167,40.826667,4 km SE Pozzuoli (NA),25902251,2021,1,2021-01-06,63.0957344480193
2021-01-10 23:54:51.320000,1.3,,14.1392,40.8353,Campi Flegrei,25915251,2021,1,2021-01-10,89.12509381337459
2021-01-11 10:24:10.900000,1.5,,14.151667,40.831333,5 km S Quarto (NA),25916061,2021,1,2021-01-11,177.82794100389228
2021-01-12 10:26:35.730000,1.0,,14.120333,40.825167,3 km SE Pozzuoli (NA),25918851,2021,1,2021-01-12,31.622776601683793
2021-01-12 11:29:18.089000,1.2,,14.122333,40.822833,4 km SE Pozzuoli (NA),25919071,2021,1,2021-01-12,63.0957344480193
2021-01-20 02:58:27.109000,1.1,,14.1225,40.826167,Campi Flegrei,25949221,2021,1,2021-01-20,44.668359215096324
2021-02-07 03:13:45.170000,1.9,,14.1153,40.8118,Campi Flegrei,26044201,2021,2,2021-02-07,707.9457843841374
2021-02-20 23:41:35.640000,1.8,,14.114,40.829,Campi Flegrei,26119981,2021,2,2021-02-20,501.18723362727246
2021-02-25 19:41:54.240000,1.1,,14.140167,40.827,Campi Flegrei,26139171,2021,2,2021-02-25,44.668359215096324
2021-03-14 15:59:55.690000,1.3,,14.1283,40.8315,Campi Flegrei,26240491,2021,3,2021-03-14,89.12509381337459
2021-03-15 08:32:06.370000,1.3,,14.139,40.8312,Campi Flegrei,26243881,2021,3,2021-03-15,89.12509381337459
2021-03-31 14:06:36.400000,1.3,,14.113,40.798667,Campi Flegrei,26352651,2021,3,2021-03-31,89.12509381337459
2021-03-31 23:10:48.950000,2.2,,14.1075,40.8022,Campi Flegrei,26354921,2021,3,2021-03-31,1995.262314968881
2021-04-07 00:05:14.089000,1.1,,14.138333,40.8255,Campi Flegrei,26404411,2021,4,2021-04-07,44.668359215096324
2021-04-07 02:08:45.530000,1.6,,14.1533,40.8242,Campi Flegrei,26405241,2021,4,2021-04-07,251.18864315095823
2021-04-08 09:10:47.109000,1.0,,14.123,40.8285,Campi Flegrei,26414781,2021,4,2021-04-08,31.622776601683793
2021-04-28 02:25:21.500000,1.0,,14.140167,40.822833,Campi Flegrei,26530981,2021,4,2021-04-28,31.622776601683793
2021-04-29 02:40:18.769000,1.1,,14.126833,40.824167,Campi Flegrei,26536131,2021,4,2021-04-29,44.668359215096324
2021-04-29 02:57:39.890000,1.4,,14.1285,40.826667,Campi Flegrei,26536201,2021,4,2021-04-29,125.89254117941663
2021-04-29 22:38:08.460000,1.0,,14.138,40.823,Campi Flegrei,26545101,2021,4,2021-04-29,31.622776601683793
2021-05-05 07:08:06.010000,2.1,,14.1422,40.8302,Campi Flegrei,26595121,2021,5,2021-05-05,1412.5375446227554
2021-05-06 16:35:42.640000,1.0,,14.135167,40.822833,Campi Flegrei,26612111,2021,5,2021-05-06,31.622776601683793
2021-05-07 17:26:36.789000,1.0,,14.1335,40.822833,Campi Flegrei,26624471,2021,5,2021-05-07,31.622776601683793
2021-05-19 02:47:22.089000,1.0,,14.133,40.827333,Campi Flegrei,26774291,2021,5,2021-05-19,31.622776601683793
2021-05-25 03:34:55.859000,1.1,,14.141333,40.831333,Campi Flegrei,26774381,2021,5,2021-05-25,44.668359215096324
2021-05-31 21:19:13.579000,1.3,,14.140833,40.8405,Campi Flegrei,26823431,2021,5,2021-05-31,89.12509381337459
2021-05-31 21:22:01.849000,1.3,,14.138,40.844,Campi Flegrei,26823441,2021,5,2021-05-31,89.12509381337459
2021-05-31 21:22:13.940000,1.3,,14.140833,40.842,Campi Flegrei,26823451,2021,5,2021-05-31,89.12509381337459
2021-05-31 21:22:56.430000,1.4,,14.136833,40.842,Campi Flegrei,26823511,2021,5,2021-05-31,125.89254117941663
2021-05-31 21:25:32.000000,1.0,,14.136,40.842,Campi Flegrei,26823461,2021,5,2021-05-31,31.622776601683793
2021-05-31 21:32:07.560000,1.9,,14.1337,40.8467,Campi Flegrei,26823281,2021,5,2021-05-31,707.9457843841374
2021-05-31 21:33:10.099000,1.3,,14.137167,40.840333,Campi Flegrei,26823551,2021,5,2021-05-31,89.12509381337459
2021-05-31 21:36:16.460000,1.0,,14.135833,40.839833,Campi Flegrei,26823541,2021,5,2021-05-31,31.622776601683793
2021-05-31 21:38:09.290000,1.7,,14.1308,40.8408,Campi Flegrei,26823311,2021,5,2021-05-31,354.8133892335753
2021-05-31 21:42:16.859000,1.0,,14.136833,40.838167,Campi Flegrei,26823561,2021,5,2021-05-31,31.622776601683793
2021-05-31 21:45:58.250000,1.0,,14.133833,40.840333,Campi Flegrei,26823581,2021,5,2021-05-31,31.622776601683793
2021-05-31 22:07:31.450000,1.1,,14.140833,40.842,Campi Flegrei,26823571,2021,5,2021-05-31,44.668359215096324
2021-06-01 18:05:29.109000,1.0,,14.140167,40.8265,Campi Flegrei,26831281,2021,6,2021-06-01,31.622776601683793
2021-06-03 06:01:03.410000,1.0,,14.140167,40.8265,Campi Flegrei,26841571,2021,6,2021-06-03,31.622776601683793
2021-06-07 05:31:01.600000,1.6,,14.0997,40.8082,Campi Flegrei,26877091,2021,6,2021-06-07,251.18864315095823
2021-06-19 18:27:40.960000,1.8,,14.1402,40.8313,Campi Flegrei,27134451,2021,6,2021-06-19,501.18723362727246
2021-06-28 06:05:22.039000,1.3,,14.121667,40.819833,Campi Flegrei,27291031,2021,6,2021-06-28,89.12509381337459
2021-07-02 05:54:23.280000,1.6,,14.1505,40.8278,Campi Flegrei,27336881,2021,7,2021-07-02,251.18864315095823
2021-07-08 08:57:08.210000,1.7,,14.1062,40.7878,Campi Flegrei,27435061,2021,7,2021-07-08,354.8133892335753
2021-07-09 03:28:20.830000,1.4,,14.136,40.8318,Campi Flegrei,27452711,2021,7,2021-07-09,125.89254117941663
2021-07-16 14:10:20.250000,1.7,,14.1183,40.8325,Campi Flegrei,27580751,2021,7,2021-07-16,354.8133892335753
2021-08-03 03:50:58.140000,1.7,,14.1157,40.7958,Campi Flegrei,27789661,2021,8,2021-08-03,354.8133892335753
2021-08-06 14:51:09.030000,1.9,,14.1058,40.8027,Campi Flegrei,27847011,2021,8,2021-08-06,707.9457843841374
2021-08-12 00:52:01.329000,1.0,,14.128,40.834167,Campi Flegrei,27920371,2021,8,2021-08-12,31.622776601683793
2021-09-01 06:41:16.099000,1.0,,14.137833,40.8245,Campi Flegrei,28152861,2021,9,2021-09-01,31.622776601683793
2021-10-09 15:05:15.900000,1.3,,14.1388,40.8323,Campi Flegrei,28547781,2021,10,2021-10-09,89.12509381337459
2021-10-21 00:47:38.490000,1.5,,14.140333,40.820333,Campi Flegrei,28676661,2021,10,2021-10-21,177.82794100389228
2021-10-24 20:01:27.580000,1.7,,14.1467,40.8392,Campi Flegrei,28718701,2021,10,2021-10-24,354.8133892335753
2021-10-25 15:02:00.619000,1.0,,14.135,40.818833,Campi Flegrei,28725081,2021,10,2021-10-25,31.622776601683793
2021-10-29 13:26:47.299000,1.1,,14.1385,40.826333,Campi Flegrei,28755561,2021,10,2021-10-29,44.668359215096324
2021-11-06 22:01:45.250000,1.2,,14.140167,40.838833,Campi Flegrei,28853361,2021,11,2021-11-06,63.0957344480193
2021-11-06 22:01:56.059000,1.1,,14.140167,40.8315,Campi Flegrei,28853381,2021,11,2021-11-06,44.668359215096324
2021-11-06 22:16:57.809000,1.3,,14.1385,40.839667,Campi Flegrei,28853351,2021,11,2021-11-06,89.12509381337459
2021-11-25 04:38:30.560000,1.4,,14.1122,40.8012,Campi Flegrei,28979291,2021,11,2021-11-25,125.89254117941663
2021-11-25 05:12:47.680000,1.6,,14.1133,40.7993,Campi Flegrei,28979471,2021,11,2021-11-25,251.18864315095823
2021-11-25 05:59:22.890000,1.0,,14.112667,40.797,Campi Flegrei,28979851,2021,11,2021-11-25,31.622776601683793
2021-12-02 06:33:03.049000,1.7,,14.1395,40.831333,Campi Flegrei,29054571,2021,12,2021-12-02,354.8133892335753
2021-12-03 12:10:59.390000,2.1,,14.127,40.8247,Campi Flegrei,29074151,2021,12,2021-12-03,1412.5375446227554
2021-12-25 11:15:30.650000,1.4,,14.1363,40.8377,Campi Flegrei,29312541,2021,12,2021-12-25,125.89254117941663
2021-12-26 03:52:20.270000,1.8,,14.1098,40.8132,Campi Flegrei,29323111,2021,12,2021-12-26,501.18723362727246
2021-12-27 04:54:44.660000,1.1,,14.132333,40.8225,Campi Flegrei,29333571,2021,12,2021-12-27,44.668359215096324
2021-12-27 09:40:18.940000,1.4,,14.1278,40.8298,Campi Flegrei,29335141,2021,12,2021-12-27,125.89254117941663
2021-12-27 11:22:06.410000,1.1,,14.132333,40.823167,Campi Flegrei,29336261,2021,12,2021-12-27,44.668359215096324
2021-12-27 13:29:43.530000,1.6,,14.1125,40.8363,Campi Flegrei,29336961,2021,12,2021-12-27,251.18864315095823
2022-01-03 05:38:20.750000,1.2,,14.137,40.828167,Campi Flegrei,29388181,2022,1,2022-01-03,63.0957344480193
2022-01-05 00:20:57.130000,1.3,,14.127,40.8288,Campi Flegrei,29411641,2022,1,2022-01-05,89.12509381337459
2022-01-05 00:42:10.570000,1.4,,14.1273,40.8288,Campi Flegrei,29411731,2022,1,2022-01-05,125.89254117941663
2022-01-06 19:37:15.110000,2.1,,14.1388,40.8423,Campi Flegrei,29440761,2022,1,2022-01-06,1412.5375446227554
2022-01-06 19:38:14.670000,1.0,,14.144667,40.825667,Campi Flegrei,29440901,2022,1,2022-01-06,31.622776601683793
2022-01-13 16:58:49.930000,1.2,,14.1332,40.8427,Campi Flegrei,29550921,2022,1,2022-01-13,63.0957344480193
2022-01-13 17:02:04.660000,1.2,,14.1335,40.8402,Campi Flegrei,29551011,2022,1,2022-01-13,63.0957344480193
2022-01-14 20:54:52.200000,1.0,,14.131333,40.824167,Campi Flegrei,29560251,2022,1,2022-01-14,31.622776601683793
2022-01-21 03:53:27.549000,1.0,,14.142833,40.827333,Campi Flegrei,29611111,2022,1,2022-01-21,31.622776601683793
2022-01-21 14:30:14.820000,1.5,,14.1378,40.7958,Campi Flegrei,29613401,2022,1,2022-01-21,177.82794100389228
2022-01-21 14:56:42.559000,1.0,,14.134667,40.8375,Campi Flegrei,29614201,2022,1,2022-01-21,31.622776601683793
2022-01-26 03:04:54.410000,1.4,,14.1367,40.8293,Campi Flegrei,29665901,2022,1,2022-01-26,125.89254117941663
2022-01-31 04:48:12.299000,1.4,,14.128,40.832,Campi Flegrei,29721941,2022,1,2022-01-31,125.89254117941663
2022-02-01 02:18:39.400000,1.4,,14.144,40.832667,Campi Flegrei,29735121,2022,2,2022-02-01,125.89254117941663
2022-02-04 03:41:57.579000,2.1,,14.144667,40.8225,Campi Flegrei,29795491,2022,2,2022-02-04,1412.5375446227554
2022-02-06 09:13:58.650000,1.0,,14.159667,40.820667,Campi Flegrei,29813211,2022,2,2022-02-06,31.622776601683793
2022-02-06 14:12:10.019000,1.5,,14.142167,40.827,Campi Flegrei,29817521,2022,2,2022-02-06,177.82794100389228
2022-02-07 15:53:49.509000,1.0,,14.114,40.831,Campi Flegrei,29840881,2022,2,2022-02-07,31.622776601683793
2022-02-09 18:36:57.100000,1.3,,14.1177,40.7973,Campi Flegrei,29882601,2022,2,2022-02-09,89.12509381337459
2022-02-09 19:04:18.050000,1.8,,14.1112,40.8023,Campi Flegrei,29882891,2022,2,2022-02-09,501.18723362727246
2022-02-09 19:05:43.640000,1.7,,14.1107,40.803,Campi Flegrei,29882921,2022,2,2022-02-09,354.8133892335753
2022-02-09 19:12:40.250000,1.5,,14.1117,40.8028,Campi Flegrei,29882981,2022,2,2022-02-09,177.82794100389228
2022-02-18 19:37:08.160000,1.9,,14.1462,40.8153,Campi Flegrei,29965021,2022,2,2022-02-18,707.9457843841374
2022-03-06 05:14:37.940000,1.1,,14.139,40.837667,Campi Flegrei,30137611,2022,3,2022-03-06,44.668359215096324
