time,b_value,b_error,event_count,window_center_idx,m0
2021-11-06 22:16:57.809,0.9747774904227711,0.05481860232803664,235,150,1.1
2022-03-30 01:58:43.769,1.1126246333985954,0.06100623826125987,300,200,1.0
2022-10-31 01:02:45.060,1.0267009028445673,0.05281097398283505,300,250,1.0
2023-01-11 01:32:14.809,0.9539183708162249,0.05040741861134673,237,300,1.1
2023-03-25 07:31:42.070,0.9311899702069726,0.0531952013093754,238,350,1.1
2023-05-08 22:33:51.319,0.8685889638065036,0.04120805598099143,248,400,1.1
2023-06-15 15:41:33.279,0.8901242273719543,0.04265598682811593,248,450,1.1
2023-08-15 22:37:36.860,0.8570259157370361,0.04245111587920273,252,500,1.1
2023-08-21 02:52:40.810,0.8393641395156745,0.048285821061967084,247,550,1.1
2023-09-23 12:29:56.230,0.8828867245275981,0.04602460357201173,247,600,1.1
2023-09-27 22:24:41.430,0.8541810899992869,0.04851759194120836,249,650,1.1
2023-10-19 01:11:02.829,0.8561112292905285,0.05271467699788175,247,700,1.1
2024-01-24 14:05:26.380,0.8295512575680092,0.052995739990821085,255,750,1.1
2024-03-10 15:14:51.859,0.8856871717554508,0.058422466667340016,259,800,1.1
2024-04-10 07:06:38.279,0.9198476496253194,0.0648683697147263,262,850,1.1
2024-04-16 03:38:05.549,0.8253140688125858,0.05477742667423773,267,900,1.1
2024-04-26 01:50:18.539,0.8082025119688323,0.05108983410039219,265,950,1.1
2024-05-07 01:59:09.490,0.8133430226456659,0.059146997052032045,265,1000,1.1
2024-05-20 01:56:55.390,0.8432902561228193,0.06516825498609491,260,1050,1.1
2024-05-21 03:29:09.920,0.8420671633849314,0.07011817340219777,254,1100,1.1
2024-06-12 01:04:58.809,0.8424104710797237,0.07913064452660672,251,1150,1.1
2024-07-09 03:00:46.910,0.8920841851436193,0.0794811417452099,243,1200,1.1
2024-08-16 14:33:09.240,0.9182656289808793,0.075847344663009,244,1250,1.1
2024-09-15 12:35:44.210,0.9211153779192546,0.0674932240503989,242,1300,1.1
2024-12-05 03:44:02.200,0.901854073058668,0.06869325204906213,244,1350,1.1
2025-01-24 05:29:55.200,0.8313447203354745,0.0625977180779959,250,1400,1.1
2025-02-12 16:41:39.789,0.8214613033738978,0.05512880298847644,251,1450,1.1
2025-02-16 16:13:04.559,0.7960460569993084,0.05380206507869593,248,1500,1.1
2025-02-17 11:26:22.680,0.793766693516056,0.059789604165408725,244,1550,1.1
2025-02-18 01:03:49.640,0.7896263307331857,0.059954033911609514,238,1600,1.1
2025-02-21 07:01:27.619,0.7990483539251518,0.06300391473717927,239,1650,1.1
2025-03-12 09:13:31.710,0.7721540089739493,0.06162882441641233,229,1700,1.1
2025-04-11 20:56:03.670,0.7382047484889713,0.06063134142991996,231,1750,1.1
2025-05-13 10:13:59.859,0.7752912082387855,0.06122272556737502,236,1800,1.1
2025-06-06 00:28:10.980,0.8310358781014986,0.06641287612990276,239,1850,1.1
2025-06-30 10:59:16.200,0.7844503387618823,0.061058180303021174,248,1900,1.1
2025-08-03 05:12:35.650,0.794082461267797,0.057485183604309834,243,1950,1.1
2025-08-27 17:09:29.000,0.879760526041957,0.061693721715244454,252,2000,1.1
2025-09-01 08:25:09.160,0.9504887882484667,0.06490951188818637,253,2050,1.1
2025-10-02 19:33:26.670,0.9359157063162076,0.06625984910375911,253,2100,1.1
2025-10-12 14:13:45.220,0.9237138208576882,0.06472338686120323,248,2150,1.1
2025-10-24 12:25:33.750,1.0137709808116255,0.07379634781440264,243,2200,1.1
2025-11-04 20:31:53.859,0.9734871735251298,0.0692029535359462,245,2250,1.1
2025-11-19 12:27:25.079,0.9154793705929735,0.05968049456039341,246,2300,1.1
2025-11-28 08:38:36.349,0.8628128110962359,0.05369491694628113,239,2350,1.1
