time,seismic_rate,b_value,rate_n,b_n,uplift_n,unrest_index,dl_anomaly_score,dl_is_anomaly,state,threshold_baseline,threshold_attention,threshold_alert,persistence,trend,stat_alert_flag,dl_alert_flag,alert_flag
2018-03-03 01:18:56.520,0.4,0.9747774904227712,-1.1176470586262974,1.7741898658098785,0.0,-1.36385061132014,,,NORMAL,-1.36385061132014,-1.36385061132014,-1.36385061132014,0.0,0.0,0,0,0
2018-03-10 01:18:56.520,0.4,0.9747774904227712,-1.1176470586262974,1.7741898658098785,0.0,-1.36385061132014,,,NORMAL,-1.36385061132014,-1.36385061132014,-1.36385061132014,0.0,0.0,0,0,0
2018-03-17 01:18:56.520,0.4,0.9747774904227712,-1.1176470586262974,1.7741898658098785,0.0,-1.36385061132014,,,NORMAL,-1.36385061132014,-1.36385061132014,-1.36385061132014,0.0,0.0,0,0,0
2018-03-24 01:18:56.520,0.4,0.9747774904227712,-1.1176470586262974,1.7741898658098785,0.0,-1.36385061132014,,,NORMAL,-1.36385061132014,-1.36385061132014,-1.36385061132014,0.0,0.0,0,0,0
2020-04-18 01:18:56.520,0.3666666666666666,0.9747774904227712,-1.1764705880276816,1.7741898658098785,0.0,-1.4006153171960052,,,NORMAL,-1.4006153171960052,-1.4006153171960052,-1.4006153171960052,0.0,0.0,0,0,0
2020-04-25 01:18:56.520,0.3333333333333333,0.9747774904227712,-1.235294117429066,1.7741898658098785,0.0,-1.4373800230718703,,,NORMAL,-1.4189976701339377,-1.4098064936649715,-1.4042917877835916,0.0,0.0,0,0,0
2020-05-02 01:18:56.520,0.3333333333333333,0.9747774904227712,-1.235294117429066,1.7741898658098785,0.0,-1.4373800230718703,,,NORMAL,-1.4373800230718703,-1.4189976701339377,-1.4079682583711781,0.0,-0.014443277308375616,0,0,0
2020-12-12 01:18:56.520,0.3666666666666666,0.9747774904227712,-1.1764705880276816,1.7741898658098785,0.0,-1.4006153171960052,,,ELEVATED,-1.4189976701339377,-1.4006153171960052,-1.4006153171960052,0.0,-0.01050420167881874,0,0,0
2020-12-19 01:18:56.520,0.5,0.9747774904227712,-0.9411764704221454,1.7741898658098785,0.0,-1.2535564936925452,,,CRITICAL,-1.4006153171960052,-1.4006153171960052,-1.312380023093929,0.0,0.001838235293793178,0,0,0
2020-12-26 01:18:56.520,0.5333333333333333,0.9747774904227712,-0.8823529410207612,1.7741898658098785,0.0,-1.21679178781668,,,CRITICAL,-1.4006153171960052,-1.2903211995684103,-1.2351741407546126,0.0,0.01002673796614501,0,0,0
2021-01-02 01:18:56.520,0.6666666666666666,0.9747774904227712,-0.647058823415225,1.7741898658098785,0.0,-1.06973296431322,,,CRITICAL,-1.4006153171960052,-1.2351741407546126,-1.157968258415296,0.0,0.020721925130032914,0,0,0
2021-01-09 01:18:56.520,0.4666666666666667,0.9747774904227712,-0.9999999998235294,1.7741898658098785,0.0,-1.2903211995684103,,,ELEVATED,-1.3454682583822077,-1.244365317223579,-1.172674140765642,0.0,0.017611065402075167,0,0,0
2021-01-16 01:18:56.520,0.3333333333333333,0.9747774904227712,-1.235294117429066,1.7741898658098785,0.0,-1.4373800230718703,,,NORMAL,-1.4006153171960052,-1.2535564936925452,-1.1873800231159881,0.0,0.010302197800379711,0,0,0
2021-05-22 01:18:56.520,0.5666666666666667,0.9747774904227712,-0.8235294116193772,1.7741898658098785,0.0,-1.180027081940815,,,HIGH,-1.3454682583822077,-1.2259829642856463,-1.1689976701780556,0.0,0.012766645117333412,0,0,0
2021-05-29 01:18:56.520,0.5666666666666667,0.9747774904227712,-0.8235294116193772,1.7741898658098785,0.0,-1.180027081940815,,,HIGH,-1.2903211995684103,-1.1984094348787475,-1.180027081940815,0.0,0.014049369745419807,0,0,0
2021-06-05 01:18:56.520,0.5666666666666667,0.9747774904227712,-0.8235294116193772,1.7741898658098785,0.0,-1.180027081940815,,,ELEVATED,-1.2719388466304777,-1.180027081940815,-1.180027081940815,0.0,0.0145977508624758,0,0,0
2021-06-12 01:18:56.520,0.5333333333333333,0.9747774904227712,-0.8823529410207612,1.7741898658098785,0.0,-1.21679178781668,,,ELEVATED,-1.2535564936925452,-1.180027081940815,-1.180027081940815,0.0,0.013966983849899688,0,0,0
2021-12-25 01:18:56.520,0.3666666666666666,0.9747774904227712,-1.1764705880276816,1.7741898658098785,0.0,-1.4006153171960052,,,NORMAL,-1.2719388466304777,-1.1892182584097812,-1.180027081940815,0.0,0.010054331328280939,0,0,0
2022-01-01 01:18:56.520,0.4666666666666667,0.9747774904227712,-0.9999999998235294,1.7741898658098785,0.0,-1.2903211995684103,,,NORMAL,-1.2903211995684103,-1.1984094348787475,-1.180027081940815,0.0,0.008836429307006143,0,0,0
2022-01-08 01:18:56.520,0.5666666666666667,0.9747774904227712,-0.8235294116193772,1.7741898658098785,0.0,-1.180027081940815,,,ELEVATED,-1.2719388466304777,-1.180027081940815,-1.180027081940815,0.0,0.00939849623894293,0,0,0
2022-01-15 01:18:56.520,0.4,0.9747774904227712,-1.1176470586262974,1.7741898658098785,0.0,-1.36385061132014,,,NORMAL,-1.2903211995684103,-1.180027081940815,-1.180027081940815,0.0,0.007305194803905643,0,0,0
2022-01-22 01:18:56.520,0.3333333333333333,1.1126246333985954,-1.235294117429066,4.663233894174627,0.0,-2.520771533708651,,,NORMAL,-1.2903211995684103,-1.1892182584097812,-1.180027081940815,0.0,-0.008071902525083835,0,0,0
2022-01-29 01:18:56.520,0.5,1.1126246333985954,-0.9411764704221454,4.663233894174627,0.0,-2.336948004329326,,,NORMAL,-1.2903211995684103,-1.1984094348787475,-1.180027081940815,0.0,-0.017686047972093125,0,0,0
2022-02-05 01:18:56.520,0.5,1.1126246333985954,-0.9411764704221454,4.663233894174627,0.0,-2.336948004329326,,,NORMAL,-1.3270859054442752,-1.2076006113477138,-1.180027081940815,0.0,-0.024912079486569275,0,0,0
2022-02-12 01:18:56.520,0.3666666666666666,1.1126246333985954,-1.1764705880276816,4.663233894174627,0.0,-2.484006827832786,,,NORMAL,-1.36385061132014,-1.21679178781668,-1.180027081940815,0.0,-0.03166477550260977,0,0,0
2022-03-05 01:18:56.520,0.4,1.1126246333985954,-1.1176470586262974,4.663233894174627,0.0,-2.4472421219569207,,,NORMAL,-1.3822329642580726,-1.21679178781668,-1.180027081940815,0.0,-0.03638972039232987,0,0,0
2022-03-12 01:18:56.520,0.3666666666666666,1.1126246333985954,-1.1764705880276816,4.663233894174627,0.0,-2.484006827832786,,,NORMAL,-1.4006153171960052,-1.21679178781668,-1.180027081940815,0.0,-0.040142652729278604,0,0,0
2022-03-19 01:18:56.520,0.5666666666666667,1.1126246333985954,-0.8235294116193772,4.663233894174627,0.0,-2.263418592577596,,,NORMAL,-1.4006153171960052,-1.21679178781668,-1.180027081940815,0.0,-0.041220264417837583,0,0,0
2022-03-26 01:18:56.520,0.8666666666666667,1.1126246333985954,-0.2941176470069205,4.663233894174627,0.0,-1.93253623969481,,,NORMAL,-1.4006153171960052,-1.21679178781668,-1.180027081940815,0.0,-0.0395235606265326,0,0,0
2022-04-02 01:18:56.520,0.5666666666666667,1.1126246333985954,-0.8235294116193772,4.663233894174627,0.0,-2.263418592577596,,,NORMAL,-1.4006153171960052,-1.2259829642856463,-1.180027081940815,0.0,-0.04002403878493139,0,0,0
2022-04-09 01:18:56.520,0.6,1.1126246333985954,-0.7647058822179932,4.663233894174627,0.0,-2.2266538867017305,,,NORMAL,-1.4006153171960052,-1.2351741407546126,-1.180027081940815,0.0,-0.042233607750383664,0,0,0
2022-04-16 01:18:56.520,0.4666666666666667,1.1126246333985954,-0.9999999998235294,4.663233894174627,0.0,-2.3737127102051905,,,NORMAL,-1.4189976701339377,-1.244365317223579,-1.180027081940815,0.0,-0.04500804864705663,0,0,0
2022-04-30 01:18:56.520,0.3333333333333333,1.1126246333985954,-1.235294117429066,4.663233894174627,0.0,-2.520771533708651,,,NORMAL,-1.4373800230718703,-1.2351741407546126,-1.180027081940815,0.0,-0.048281929295415985,0,0,0
2022-05-14 01:18:56.520,0.3666666666666666,1.1126246333985954,-1.1764705880276816,4.663233894174627,0.0,-2.484006827832786,,,NORMAL,-1.4373800230718703,-1.2351741407546126,-1.180027081940815,0.0,-0.05080385926186719,0,0,0
2022-05-21 01:18:56.520,0.3666666666666666,1.1126246333985954,-1.1764705880276816,4.663233894174627,0.0,-2.484006827832786,,,NORMAL,-1.6849581313833402,-1.244365317223579,-1.180027081940815,0.0,-0.05308093793780149,0,0,0
2022-07-30 01:18:56.520,0.3333333333333333,1.0267009028445673,-1.235294117429066,2.862417168539096,0.0,-1.845465261595327,,,NORMAL,-1.845465261595327,-1.2535564936925452,-1.180027081940815,0.0,-0.051009900360118876,0,0,0
2022-08-06 01:18:56.520,0.3333333333333333,1.0267009028445673,-1.235294117429066,2.862417168539096,0.0,-1.845465261595327,,,NORMAL,-1.845465261595327,-1.2627476701615115,-1.180027081940815,0.0,-0.04875728981757601,0,0,0
2022-08-13 01:18:56.520,0.3666666666666666,1.0267009028445673,-1.1764705880276816,2.862417168539096,0.0,-1.808700555719462,,,ELEVATED,-1.845465261595327,-1.2719388466304777,-1.180027081940815,0.0,-0.04583236496366519,0,0,0
2022-10-22 01:18:56.520,0.4333333333333333,1.0267009028445673,-1.0588235292249135,2.862417168539096,0.0,-1.7351711439677318,,,ELEVATED,-1.8270829086573945,-1.281130023099444,-1.180027081940815,0.0,-0.04123728506048757,0,0,0
2022-10-29 01:18:56.520,0.5,1.0267009028445673,-0.9411764704221454,2.862417168539096,0.0,-1.6616417322160018,,,ELEVATED,-1.808700555719462,-1.2903211995684103,-1.180027081940815,0.0,-0.03569998310536281,0,0,0
2022-11-05 01:18:56.520,0.5666666666666667,1.0267009028445673,-0.8235294116193772,2.862417168539096,0.0,-1.5881123204642718,,,ELEVATED,-1.7719358498435969,-1.2903211995684103,-1.180027081940815,0.0,-0.028476168056087613,0,0,0
2022-11-12 01:18:56.520,0.5666666666666667,1.0267009028445673,-0.8235294116193772,2.862417168539096,0.0,-1.5881123204642718,,,ELEVATED,-1.7351711439677318,-1.2903211995684103,-1.180027081940815,0.0,-0.022543004081475134,0,0,0
2022-11-19 01:18:56.520,0.4333333333333333,1.0267009028445673,-1.0588235292249135,2.862417168539096,0.0,-1.7351711439677318,,,NORMAL,-1.7351711439677318,-1.2903211995684103,-1.180027081940815,0.0,-0.01844030666268379,0,0,0
2022-11-26 01:18:56.520,0.4333333333333333,1.0267009028445673,-1.0588235292249135,2.862417168539096,0.0,-1.7351711439677318,,,NORMAL,-1.7351711439677318,-1.2903211995684103,-1.180027081940815,0.0,-0.012430262543813549,0,0,0
2022-12-03 01:18:56.520,0.4333333333333333,1.0267009028445673,-1.0588235292249135,2.862417168539096,0.0,-1.7351711439677318,,,NORMAL,-1.7351711439677318,-1.3087035525063428,-1.180027081940815,0.0,-0.006173213280548695,0,0,0
2022-12-10 01:18:56.520,0.5333333333333333,0.9539183708162248,-0.8823529410207612,1.3370178386260585,0.0,-1.0528522776227476,,,CRITICAL,-1.7351711439677318,-1.2903211995684103,-1.180027081940815,0.0,0.004732898329336445,0,0,0
2022-12-17 01:18:56.520,0.8,0.9539183708162248,-0.4117647058096886,1.3370178386260585,0.0,-0.7587346306158274,,,CRITICAL,-1.7351711439677318,-1.2719388466304777,-1.180027081940815,0.0,0.01722640844253925,0,0,0
2022-12-24 01:18:56.520,0.7,0.9539183708162248,-0.588235294013841,1.3370178386260585,0.0,-0.8690287482434225,,,CRITICAL,-1.7351711439677318,-1.2535564936925452,-1.1579682584152957,0.0,0.027536787713392543,0,0,0
2022-12-31 01:18:56.520,0.9666666666666668,0.9539183708162248,-0.1176470588027683,1.3370178386260585,0.0,-0.5749111012365021,,,CRITICAL,-1.7351711439677318,-1.2535564936925452,-1.0663568269751256,0.0,0.040268825776626486,0,0,0
2023-01-07 01:18:56.520,0.8333333333333334,0.9539183708162248,-0.3529411764083045,1.3370178386260585,0.0,-0.7219699247399622,,,CRITICAL,-1.7351711439677318,-1.2535564936925452,-1.016087571746882,0.0,0.05249443259807874,0,0,0
2023-01-14 01:18:56.520,0.4,0.9539183708162248,-1.1176470586262974,1.3370178386260585,0.0,-1.1999111011262078,,,HIGH,-1.7351711439677318,-1.208351444471444,-1.016087571746882,0.0,0.06016499206906113,0,0,0
2023-01-21 01:18:56.520,0.4666666666666667,0.9539183708162248,-0.9999999998235294,1.3370178386260585,0.0,-1.1263816893744778,,,HIGH,-1.7351711439677318,-1.1899690915335115,-1.016087571746882,0.0,0.060258226807311265,0,0,0
2023-01-28 01:18:56.520,0.4,0.9539183708162248,-1.1176470586262974,1.3370178386260585,0.0,-1.1999111011262078,,,ELEVATED,-1.7351711439677318,-1.1949400963298595,-1.0344699246848148,0.0,0.060524408549185574,0,0,0
2023-02-04 01:18:56.520,0.4333333333333333,0.9539183708162248,-1.0588235292249135,1.3370178386260585,0.0,-1.163146395250343,,,HIGH,-1.7351711439677318,-1.180027081940815,-1.0528522776227476,0.0,0.06052187008282713,0,0,0
2023-02-11 01:18:56.520,0.5,0.9539183708162248,-0.9411764704221454,1.3370178386260585,0.0,-1.0896169834986127,,,HIGH,-1.6984064380918666,-1.180027081940815,-1.056528748210334,0.0,0.059457246231381884,0,0,0
2023-02-18 01:18:56.520,0.7666666666666667,0.9311899702069726,-0.4705882352110727,0.8606688288685054,0.0,-0.6168684578326099,,,CRITICAL,-1.6616417322160018,-1.180027081940815,-0.9057934541192867,0.0,0.06107574439057016,0,0,0
2023-02-25 01:18:56.520,0.8,0.9311899702069726,-0.4117647058096886,0.8606688288685054,0.0,-0.5801037519567449,,,CRITICAL,-1.6248770263401369,-1.180027081940815,-0.7918228659041056,0.0,0.06186348020493075,0,0,0
2023-03-04 01:18:56.520,0.8333333333333334,0.9311899702069726,-0.3529411764083045,0.8606688288685054,0.0,-0.5433390460808798,,,CRITICAL,-1.5881123204642718,-1.180027081940815,-0.7366758070903082,0.0,0.06356258545456589,0,0,0
2023-03-11 01:18:56.520,1.1,0.9311899702069726,0.1176470588027681,0.8606688288685054,0.0,-0.2492213990739594,,,CRITICAL,-1.5881123204642718,-1.167366566922961,-0.6694191912862861,0.0,0.0686758410066645,0,0,0
2023-03-18 01:18:56.520,1.1666666666666667,0.9311899702069726,0.2352941176055362,0.8606688288685054,0.0,-0.1756919873222293,,,CRITICAL,-1.5881123204642718,-1.1447640423124104,-0.6021625754822639,0.0,0.0712325604787169,0,0,0
2023-03-25 01:18:56.520,0.8666666666666667,0.9311899702069726,-0.2941176470069205,0.8606688288685054,0.0,-0.5065743402050148,,,CRITICAL,-1.4943638188301385,-1.1171905129055115,-0.5785459567406721,0.0,0.07097919417502743,0,0,0
2023-04-01 01:18:56.520,1.0666666666666669,0.9311899702069726,0.0588235294013838,0.8606688288685054,0.0,-0.2859861049498245,,,CRITICAL,-1.4006153171960052,-1.0896169834986127,-0.5685966902053776,0.0,0.07036944882813441,0,0,0
2023-04-08 01:18:56.520,1.3666666666666667,0.9311899702069726,0.5882352940138406,0.8606688288685054,0.0,0.0448962479329608,,,CRITICAL,-1.3822329642580726,-1.0620434540917139,-0.5396625754932932,0.0,0.06995131894163792,0,0,0
2023-04-15 01:18:56.520,1.1333333333333333,0.9311899702069726,0.1764705882041519,0.8606688288685054,0.0,-0.2124566931980944,,,CRITICAL,-1.36385061132014,-0.960940512933085,-0.5065743402050148,0.0,0.06698483199753705,0,0,0
2023-04-22 01:18:56.520,1.2333333333333334,0.8685889638065036,0.3529411764083043,-0.4513428661625415,0.0,0.3898418100661432,,,CRITICAL,-1.3270859054442752,-0.8414552188365236,-0.3080449284753438,0.047619047619047616,0.06689344101014214,0,0,0
2023-04-29 01:18:56.520,1.4333333333333331,0.8685889638065036,0.7058823528166087,-0.4513428661625415,0.0,0.6104300453213335,,,CRITICAL,-1.2903211995684103,-0.7587346306158274,-0.2565743402491323,0.09523809523809523,0.07135024804276144,0,0,0
2023-05-06 01:18:56.520,1.1,0.8685889638065036,0.1176470588027681,-0.4513428661625415,0.0,0.2427829865626831,,,CRITICAL,-1.2535564936925452,-0.7311611012089285,-0.2234861049608538,0.14285714285714285,0.07234241540511732,0,0,0
2023-05-13 01:18:56.520,1.1,0.8685889638065036,0.1176470588027681,-0.4513428661625415,0.0,0.2427829865626831,,,CRITICAL,-1.21679178781668,-0.6694191912862861,-0.19039786967257527,0.19047619047619047,0.07265898974986154,0,0,0
