time,p_calibrated,alert_level
2018-03-03 01:18:56.520,0.5384615384615384,GREEN
2018-03-10 01:18:56.520,0.5384615384615384,GREEN
2018-03-17 01:18:56.520,0.5384615384615384,GREEN
2018-03-24 01:18:56.520,0.5384615384615384,GREEN
2020-04-18 01:18:56.520,0.5384615384615384,GREEN
2020-04-25 01:18:56.520,0.5384615384615384,GREEN
2020-05-02 01:18:56.520,0.5384615384615384,GREEN
2020-12-12 01:18:56.520,0.5384615384615384,GREEN
2020-12-19 01:18:56.520,0.5384615384615384,GREEN
2020-12-26 01:18:56.520,0.5384615384615384,GREEN
2021-01-02 01:18:56.520,0.5384615384615384,GREEN
2021-01-09 01:18:56.520,0.5384615384615384,GREEN
2021-01-16 01:18:56.520,0.5384615384615384,GREEN
2021-05-22 01:18:56.520,0.5384615384615384,GREEN
2021-05-29 01:18:56.520,0.5384615384615384,GREEN
2021-06-05 01:18:56.520,0.5384615384615384,GREEN
2021-06-12 01:18:56.520,0.5384615384615384,GREEN
2021-12-25 01:18:56.520,0.5384615384615384,GREEN
2022-01-01 01:18:56.520,0.5384615384615384,GREEN
2022-01-08 01:18:56.520,0.5384615384615384,GREEN
2022-01-15 01:18:56.520,0.5384615384615384,GREEN
2022-01-22 01:18:56.520,0.0,GREEN
2022-01-29 01:18:56.520,0.5384615384615384,GREEN
2022-02-05 01:18:56.520,0.5384615384615384,GREEN
2022-02-12 01:18:56.520,0.5384615384615384,GREEN
2022-03-05 01:18:56.520,0.5384615384615384,GREEN
2022-03-12 01:18:56.520,0.5384615384615384,GREEN
2022-03-19 01:18:56.520,0.5384615384615384,GREEN
2022-03-26 01:18:56.520,0.5384615384615384,GREEN
2022-04-02 01:18:56.520,0.5384615384615384,GREEN
2022-04-09 01:18:56.520,0.5384615384615384,GREEN
2022-04-16 01:18:56.520,0.5384615384615384,GREEN
2022-04-30 01:18:56.520,0.0,GREEN
2022-05-14 01:18:56.520,0.5384615384615384,GREEN
2022-05-21 01:18:56.520,0.5384615384615384,GREEN
2022-07-30 01:18:56.520,0.5384615384615384,GREEN
2022-08-06 01:18:56.520,0.5384615384615384,GREEN
2022-08-13 01:18:56.520,0.5384615384615384,GREEN
2022-10-22 01:18:56.520,0.5384615384615384,GREEN
2022-10-29 01:18:56.520,0.5384615384615384,GREEN
2022-11-05 01:18:56.520,0.5384615384615384,GREEN
2022-11-12 01:18:56.520,0.5384615384615384,GREEN
2022-11-19 01:18:56.520,0.5384615384615384,GREEN
2022-11-26 01:18:56.520,0.5384615384615384,GREEN
2022-12-03 01:18:56.520,0.5384615384615384,GREEN
2022-12-10 01:18:56.520,0.5384615384615384,GREEN
2022-12-17 01:18:56.520,0.71875,GREEN
2022-12-24 01:18:56.520,0.5384615384615384,GREEN
2022-12-31 01:18:56.520,0.71875,GREEN
2023-01-07 01:18:56.520,0.71875,GREEN
2023-01-14 01:18:56.520,0.5384615384615384,GREEN
2023-01-21 01:18:56.520,0.5384615384615384,GREEN
2023-01-28 01:18:56.520,0.5384615384615384,GREEN
2023-02-04 01:18:56.520,0.5384615384615384,GREEN
2023-02-11 01:18:56.520,0.5384615384615384,GREEN
2023-02-18 01:18:56.520,0.71875,GREEN
2023-02-25 01:18:56.520,0.71875,GREEN
2023-03-04 01:18:56.520,0.71875,GREEN
2023-03-11 01:18:56.520,0.71875,GREEN
2023-03-18 01:18:56.520,0.782608695652174,GREEN
2023-03-25 01:18:56.520,0.71875,GREEN
2023-04-01 01:18:56.520,0.71875,GREEN
2023-04-08 01:18:56.520,0.782608695652174,GREEN
2023-04-15 01:18:56.520,0.782608695652174,GREEN
2023-04-22 01:18:56.520,0.9722222222222222,GREEN
2023-04-29 01:18:56.520,0.9722222222222222,GREEN
2023-05-06 01:18:56.520,0.9722222222222222,GREEN
2023-05-13 01:18:56.520,0.9722222222222222,GREEN
2023-05-20 01:18:56.520,0.9722222222222222,GREEN
2023-05-27 01:18:56.520,0.9722222222222222,GREEN
2023-06-03 01:18:56.520,0.9722222222222222,GREEN
2023-06-10 01:18:56.520,0.9722222222222222,GREEN
2023-06-17 01:18:56.520,0.9722222222222222,GREEN
2023-06-24 01:18:56.520,0.782608695652174,GREEN
2023-07-01 01:18:56.520,0.71875,GREEN
2023-07-15 01:18:56.520,0.71875,GREEN
2023-07-22 01:18:56.520,0.71875,GREEN
2023-07-29 01:18:56.520,0.782608695652174,GREEN
2023-08-05 01:18:56.520,0.9736842105263158,GREEN
