time,dl_anomaly_score,dl_is_anomaly
2008-05-30,0.0,0
2008-05-31,0.0,0
2008-06-01,0.0,0
2008-06-02,0.0,0
2008-06-03,0.0,0
2008-06-04,0.0,0
2008-06-05,-0.044491289080888986,0
2008-06-06,-0.08647056272993658,0
2008-06-07,-0.08665837505114195,0
2008-06-08,-0.08558870031432905,0
2008-06-09,-0.08314034882863003,0
2008-06-10,-0.08787675498228091,0
2008-06-11,-0.08288583821363708,0
2008-06-12,-0.08050335457203987,0
2008-06-13,-0.07394410310366233,0
2008-06-14,-0.08352873166882582,0
2008-06-15,-0.07810674159033566,0
2008-06-16,-0.08208671749688648,0
2008-06-17,-0.0857742190830193,0
2008-06-18,-0.07600718881856021,0
2008-06-19,-0.08386682127712275,0
2008-06-20,-0.07818951102116689,0
2008-06-21,-0.08353329531462443,0
2008-06-22,-0.08456218484678614,0
2008-06-23,-0.0868268333223455,0
2008-06-24,-0.08312910304944833,0
2008-06-25,-0.07939111234155424,0
2008-06-26,-0.08408572800461311,0
2008-06-27,-0.07858611562095474,0
2008-06-28,-0.08589059911183727,0
2008-06-29,-0.08129448814371973,0
2008-06-30,-0.08041287573499128,0
2008-07-01,-0.07522333555088968,0
2008-07-02,-0.07927625610050057,0
2008-07-03,-0.08067740117246415,0
2008-07-04,-0.0857300293115695,0
2008-07-05,-0.08281485099735598,0
2008-07-06,-0.076643815482702,0
2008-07-07,-0.07995824500055582,0
2008-07-08,-0.07999541781325463,0
2008-07-09,-0.07188535757986003,0
2008-07-10,-0.08709648169519688,0
2008-07-11,-0.08629249824359361,0
2008-07-12,-0.08143762877323861,0
2008-07-13,-0.08725618200173027,0
2008-07-14,-0.07516641759922453,0
2008-07-15,-0.08115960112771924,0
2008-07-16,-0.08391391827291003,0
2008-07-17,-0.08053531423256663,0
2008-07-18,-0.08190240367208904,0
2008-07-19,-0.08710663235553084,0
2008-07-20,-0.07939883774156599,0
2008-07-21,-0.08583826533994063,0
2008-07-22,-0.07287644582553178,0
2008-07-23,-0.08304418606390167,0
2008-07-24,-0.07521478916622587,0
2008-07-25,-0.08863577561422606,0
2008-07-26,-0.07999588612167723,0
2008-07-27,-0.0748799447069392,0
2008-07-28,-0.08880907522653318,0
2008-07-29,-0.08621093998346394,0
2008-07-30,-0.08274736204274905,0
2008-07-31,-0.08700790287013603,0
2008-08-01,-0.07664653855732748,0
2008-08-02,-0.08297933953233635,0
2008-08-03,-0.0872815865686149,0
2008-08-04,-0.08733650242488265,0
2008-08-05,-0.08094943963333583,0
2008-08-06,-0.07820139982204354,0
2008-08-07,-0.08303508546400884,0
2008-08-08,-0.07977806286005466,0
2008-08-09,-0.08210640484214211,0
2008-08-10,-0.08047184568446397,0
2008-08-11,-0.0820239489471005,0
2008-08-12,-0.08482610176726915,0
2008-08-13,-0.08718658496182796,0
2008-08-14,-0.08621366838834198,0
2008-08-15,-0.08900806002705869,0
2008-08-16,-0.0896006641028159,0
2008-08-17,-0.0871840714698332,0
2008-08-18,-0.07883240350456495,0
2008-08-19,-0.08625602125663775,0
2008-08-20,-0.08227557942644413,0
2008-08-21,-0.08498912449630729,0
2008-08-22,-0.08910509042421366,0
2008-08-23,-0.08912877969454226,0
2008-08-24,-0.08695079825147284,0
2008-08-25,-0.08275635332079725,0
2008-08-26,-0.08305074290744939,0
2008-08-27,-0.07840807072242145,0
2008-08-28,-0.0808135658063913,0
2008-08-29,-0.08290017384965365,0
2008-08-30,-0.07658413845958315,0
2008-08-31,-0.08095692815511081,0
2008-09-01,-0.07808381916543958,0
2008-09-02,-0.08792863713142238,0
2008-09-03,-0.07707073107412954,0
2008-09-04,-0.07912305660067402,0
2008-09-05,-0.07911531044071733,0
2008-09-06,-0.08559042831992925,0
2008-09-07,-0.0793477412827636,0
2008-09-08,-0.08187103164100025,0
2008-09-09,-0.08281380941180802,0
2008-09-10,-0.07962873338029842,0
2008-09-11,-0.0870933968503607,0
2008-09-12,-0.08342921000708389,0
2008-09-13,-0.08223727772696691,0
2008-09-14,-0.07897402710086562,0
2008-09-15,-0.088323579944449,0
2008-09-16,-0.08396497810311292,0
2008-09-17,-0.07693224883185477,0
2008-09-18,-0.07800573917643666,0
2008-09-19,-0.07107991012068979,0
2008-09-20,-0.08418401990147478,0
2008-09-21,-0.08456422390497079,0
2008-09-22,-0.0862434384016503,0
2008-09-23,-0.08452127405996072,0
2008-09-24,-0.08333717545246672,0
2008-09-25,-0.07175900862980644,0
2008-09-26,-0.07399466547884218,0
2008-09-27,-0.08437310148870472,0
2008-09-28,-0.08486819224092834,0
2008-09-29,-0.08197922713007179,0
2008-09-30,-0.08469280648901184,0
2008-10-01,-0.08238962003231678,0
2008-10-02,-0.08126433962574224,0
2008-10-03,-0.07156813347740086,0
2008-10-04,-0.08069421969413776,0
2008-10-05,-0.07939352766788275,0
2008-10-06,-0.08492557193005043,0
2008-10-07,-0.08800271049850383,0
2008-10-08,-0.08830230978393118,0
2008-10-09,-0.08653062385656766,0
2008-10-10,-0.08058914535335887,0
2008-10-11,-0.07884427020050416,0
2008-10-12,-0.07680808438206205,0
2008-10-13,-0.08410016142765253,0
2008-10-14,-0.08055949160940422,0
2008-10-15,-0.08380537896946086,0
2008-10-16,-0.08041610475828528,0
2008-10-17,-0.08716736069882422,0
2008-10-18,-0.08283047285980688,0
2008-10-19,-0.07310696505766688,0
2008-10-20,-0.08753653715605222,0
2008-10-21,-0.08747501737657512,0
2008-10-22,-0.07056142408193378,0
2008-10-23,-0.07837996225015882,0
2008-10-24,-0.0843431327795315,0
2008-10-25,-0.08720838676735913,0
2008-10-26,-0.07907183472625195,0
2008-10-27,-0.08939281431205075,0
2008-10-28,-0.08890706323677212,0
2008-10-29,-0.07335865965800532,0
2008-10-30,-0.08392308026112642,0
2008-10-31,-0.08528155116717093,0
2008-11-01,-0.0706427765458183,0
2008-11-02,-0.0810696673614341,0
2008-11-03,-0.07885728493828614,0
2008-11-04,-0.07206255329725612,0
2008-11-05,-0.08939606027786126,0
2008-11-06,-0.08146543375741132,0
2008-11-07,-0.08878388213215042,0
2008-11-08,-0.08759427400967909,0
2008-11-09,-0.0813538742428281,0
2008-11-10,-0.07555986464316033,0
2008-11-11,-0.08628894773786615,0
2008-11-12,-0.07815895343959832,0
2008-11-13,-0.08558035347341096,0
2008-11-14,-0.08436377945826068,0
2008-11-15,-0.07826488715654273,0
2008-11-16,-0.07544561489556549,0
2008-11-17,-0.08137610319609839,0
2008-11-18,-0.08365366932808016,0
2008-11-19,-0.08581664873697324,0
2008-11-20,-0.08247117880946295,0
2008-11-21,-0.07736533365997811,0
2008-11-22,-0.08689909118365492,0
2008-11-23,-0.07543599822825428,0
2008-11-24,-0.07399118537792428,0
2008-11-25,-0.08861758205026214,0
2008-11-26,-0.07842071392776157,0
2008-11-27,-0.08373347097156945,0
2008-11-28,-0.08079631766207146,0
2008-11-29,-0.08387249277242499,0
2008-11-30,-0.08460178535337043,0
2008-12-01,-0.08058876965141416,0
2008-12-02,-0.08610553729511813,0
2008-12-03,-0.08356973259742201,0
2008-12-04,-0.0847163958871833,0
2008-12-05,-0.08227294676931717,0
2008-12-06,-0.08406725881883055,0
2008-12-07,-0.08295085023367306,0
