time,b_value,b_error,event_count,m0
2023-04-27 01:18:56.520,0.9325902558764566,0.07867788464858334,101,1.0
2023-07-26 01:18:56.520,0.8642314940884109,0.06134042174075964,136,1.1
2023-08-25 01:18:56.520,0.8329545447785445,0.05617713926108156,225,1.1
2023-09-24 01:18:56.520,0.8583902675582867,0.054933826658904075,245,1.1
2023-10-24 01:18:56.520,0.9196034624535624,0.0774362479422183,172,1.1
2024-03-22 01:18:56.520,0.8576580281535657,0.06320891992738525,229,1.1
2024-04-21 01:18:56.520,0.8256956816432198,0.054661392369804114,349,1.1
2024-05-21 01:18:56.520,0.8154100476550848,0.05421682859048174,368,1.1
2024-06-20 01:18:56.520,0.7779535936701731,0.07129260106868199,243,1.1
2024-07-20 01:18:56.520,0.9296172733550001,0.11208058586196513,161,1.1
2025-01-16 01:18:56.520,0.7957474650799543,0.05351791260244382,315,1.1
2025-02-15 01:18:56.520,0.7998714824926982,0.05562794517681058,358,1.1
2025-03-17 01:18:56.520,0.8097015764297915,0.05420549150367354,381,1.1
2025-04-16 01:18:56.520,0.771177117398298,0.08748766686195779,170,1.1
2025-05-16 01:18:56.520,0.7489763265770368,0.06695758195199718,165,1.1
2025-06-15 01:18:56.520,0.7257594951591774,0.08354050547323433,156,1.1
2025-07-15 01:18:56.520,0.8902083084400478,0.09128318561099653,171,1.1
2025-08-14 01:18:56.520,0.8753659908323028,0.08560318770718102,186,1.1
2025-09-13 01:18:56.520,0.9314951283161675,0.07006044071527257,273,1.1
2025-10-13 01:18:56.520,0.9067319306300563,0.058744750684105805,327,1.1
2025-11-12 01:18:56.520,0.9907090136526696,0.06507880711680755,299,1.1
2025-12-12 01:18:56.520,0.912190523416342,0.07765827059820092,199,1.1
