threshold,FAR,MISS,LEAD,J
0.5,0.18604651162790697,0.0,11.84661957618567,0.06758031586605028
0.516896551724138,0.18604651162790697,0.0,11.84661957618567,0.06758031586605028
0.5337931034482759,0.18604651162790697,0.0,11.84661957618567,0.06758031586605028
0.5506896551724138,0.09815950920245399,0.16,3.170378619153675,0.22645572301091726
0.5675862068965517,0.09815950920245399,0.16,3.170378619153675,0.22645572301091726
0.5844827586206897,0.09815950920245399,0.16,3.170378619153675,0.22645572301091726
0.6013793103448276,0.09815950920245399,0.16,3.170378619153675,0.22645572301091726
0.6182758620689655,0.09815950920245399,0.16,3.170378619153675,0.22645572301091726
0.6351724137931034,0.09815950920245399,0.16,3.170378619153675,0.22645572301091726
0.6520689655172414,0.09815950920245399,0.16,3.170378619153675,0.22645572301091726
0.6689655172413793,0.09815950920245399,0.16,3.170378619153675,0.22645572301091726
0.6858620689655173,0.09815950920245399,0.16,3.170378619153675,0.22645572301091726
0.7027586206896552,0.09815950920245399,0.16,3.170378619153675,0.22645572301091726
0.7196551724137931,0.05343511450381679,0.2914285714285714,4.134174311926605,0.30352194281312217
0.736551724137931,0.05343511450381679,0.2914285714285714,4.134174311926605,0.30352194281312217
0.7534482758620689,0.05343511450381679,0.2914285714285714,4.134174311926605,0.30352194281312217
0.7703448275862068,0.05343511450381679,0.2914285714285714,4.134174311926605,0.30352194281312217
0.7872413793103448,0.018518518518518517,0.3942857142857143,7.228235294117647,0.3405218798630564
0.8041379310344827,0.018518518518518517,0.3942857142857143,7.228235294117647,0.3405218798630564
0.8210344827586207,0.018518518518518517,0.3942857142857143,7.228235294117647,0.3405218798630564
0.8379310344827586,0.018518518518518517,0.3942857142857143,7.228235294117647,0.3405218798630564
0.8548275862068966,0.018518518518518517,0.3942857142857143,7.228235294117647,0.3405218798630564
0.8717241379310344,0.018518518518518517,0.3942857142857143,7.228235294117647,0.3405218798630564
0.8886206896551724,0.018518518518518517,0.3942857142857143,7.228235294117647,0.3405218798630564
0.9055172413793103,0.018518518518518517,0.3942857142857143,7.228235294117647,0.3405218798630564
0.9224137931034482,0.018518518518518517,0.3942857142857143,7.228235294117647,0.3405218798630564
0.9393103448275861,0.018518518518518517,0.3942857142857143,7.228235294117647,0.3405218798630564
0.9562068965517241,0.018518518518518517,0.3942857142857143,7.228235294117647,0.3405218798630564
0.973103448275862,0.013888888888888888,0.5942857142857143,20.26923076923077,0.4054822954822954
0.99,0.0,0.8057142857142857,35.75625,0.4481517857142857
