time,seismic_rate,benioff_strain,event_count
2025-06-06 16:59:15.640,2.066666666666667,246350.44507019548,62
2025-06-13 16:59:15.640,2.066666666666667,237160.6327715082,62
2025-06-20 16:59:15.640,1.9666666666666666,8120203.093792999,59
2025-06-27 16:59:15.640,1.4,8027036.62619489,42
2025-07-04 16:59:15.640,1.6666666666666667,9029380.613435457,50
2025-07-11 16:59:15.640,1.4333333333333333,8959844.832540741,43
2025-07-18 16:59:15.640,1.4,1006589.6028568654,42
2025-07-25 16:59:15.640,1.3,1011425.3953471823,39
2025-08-01 16:59:15.640,1.8666666666666667,1014354.4971711455,56
2025-08-08 16:59:15.640,1.8333333333333333,14869.777934204929,55
2025-08-15 16:59:15.640,2.0,54860.10874763062,60
2025-08-22 16:59:15.640,3.6,1392060.2474983104,108
2025-08-29 16:59:15.640,3.2,1389832.6931428427,96
2025-09-05 16:59:15.640,2.7333333333333334,1387610.2685147733,82
2025-09-12 16:59:15.640,2.6666666666666665,1382423.3439276705,80
2025-09-19 16:59:15.640,1.7666666666666666,31970.992621806425,53
2025-09-26 16:59:15.640,2.6666666666666665,125344.36457486491,80
2025-10-03 16:59:15.640,3.533333333333333,146596.25980282095,106
2025-10-10 16:59:15.640,4.033333333333333,193358.49586243776,121
2025-10-17 16:59:15.640,4.466666666666667,211657.17212510592,134
2025-10-24 16:59:15.640,4.733333333333333,110140.64466642076,142
2025-10-31 16:59:15.640,3.8333333333333335,96705.62366446987,115
2025-11-07 16:59:15.640,3.933333333333333,75635.35155427053,118
2025-11-14 16:59:15.640,4.566666666666666,204823.16276349308,137
2025-11-21 16:59:15.640,3.7,192543.12890189924,111
2025-11-28 16:59:15.640,2.966666666666667,186519.55906333835,89
2025-12-05 16:59:15.640,2.1333333333333333,158209.1322298935,64
2025-12-12 16:59:15.640,1.7,33684.53824284383,51
2025-12-19 16:59:15.640,1.0333333333333334,10995.905874079437,31
2025-12-26 16:59:15.640,1.3333333333333333,106296.14222117365,40
2026-01-02 16:59:15.640,1.3666666666666667,115512.1295298939,41
2026-01-09 16:59:15.640,1.0666666666666667,111708.22713726717,32
2026-01-16 16:59:15.640,0.7666666666666667,110011.60607891747,23
2026-01-23 16:59:15.640,0.6,12755.046031904149,18
2026-01-30 16:59:15.640,0.7,5168.434578516517,21
2026-02-06 16:59:15.640,0.8,25476.43290368161,24
2026-02-13 16:59:15.640,1.0666666666666667,211834.68217285516,32
2026-02-20 16:59:15.640,1.0666666666666667,215004.31786686837,32
2026-02-27 16:59:15.640,1.0,214285.61869467323,30
2026-03-06 16:59:15.640,0.7,190865.24638896016,21
2026-03-13 16:59:15.640,0.6,185387.06499288563,18
2026-03-20 16:59:15.640,0.43333333333333335,2027.525537032174,13
2026-03-27 16:59:15.640,0.8666666666666667,231176.38226062208,26
2026-04-03 16:59:15.640,0.9666666666666667,232167.13946475886,29
2026-04-10 16:59:15.640,0.8333333333333334,232408.1919577063,25
2026-04-17 16:59:15.640,0.7666666666666667,232237.54375421203,23
2026-04-24 16:59:15.640,0.36666666666666664,2606.3799459856036,11
2026-05-01 16:59:15.640,0.5,10506.01247748899,15
